objectid,filename,title,date,location,latitude,longitude,type,format,language,rights
mupi_afiches_i01_0001,mupi_afiches_i01_0001.jpg,Coordinadora Nacional de la Mujer Salvadoreña - CONAMUS,1990,El Salvador,13.8000382,-88.9140683,Afiches,image/jpeg,spa,MUPI
mupi_afiches_i01_0002,mupi_afiches_i01_0002.jpg,Frente Farabundo Martí para la Liberación Nacional - FMLN,1988,El Salvador,13.8000382,-88.9140683,Afiches,image/jpeg,spa,MUPI
mupi_afiches_i01_0003,mupi_afiches_i01_0003.jpg,Comitato di solidarieta con il popolo di El Salvador di Padova,1990,Italia,42.6384261,12.674297,Afiches,image/jpeg,ita,MUPI
mupi_afiches_i01_0004,mupi_afiches_i01_0004.jpg,Comité Cristiano Pro Desplazados de El Salvador - CRIPDES,1987,El Salvador,13.8000382,-88.9140683,Afiches,image/jpeg,spa,MUPI
mupi_afiches_i01_0005,mupi_afiches_i01_0005.jpg,Comité Cristiano Pro Desplazados de El Salvador - CRIPDES,1987,El Salvador,13.8000382,-88.9140683,Afiches,image/jpeg,spa,MUPI
mupi_afiches_i01_0006,mupi_afiches_i01_0006.jpg,SICAFE,1989,El Salvador,13.8000382,-88.9140683,Afiches,image/jpeg,spa,MUPI
mupi_afiches_i02_0007,mupi_afiches_i02_0007.jpg,Coordinadora Nacional de la Mujer Salvadoreña - CONAMUS,1988,El Salvador,13.8000382,-88.9140683,Afiches,image/jpeg,spa,MUPI
mupi_afiches_i02_0008,mupi_afiches_i02_0008.jpg,Asociación Nacional de Educadores Salvadoreños -,,,,,,image/jpeg,,MUPI
mupi_afiches_i02_0009,mupi_afiches_i02_0009.jpg,Coordinadora Nacional de la Mujer Salvadoreña - CONAMUS,1988,El Salvador,13.8000382,-88.9140683,Afiches,image/jpeg,spa,MUPI
mupi_afiches_i02_0010,mupi_afiches_i02_0010.jpg,Asociación Nacional de Educadores Salvadoreños -,,,,,,image/jpeg,,MUPI
mupi_afiches_i02_0011,mupi_afiches_i02_0011.jpg,Comité Femenino Magisterial Salvadoreño - COFEMS,,El Salvador,13.8000382,-88.9140683,Afiches,image/jpeg,spa,MUPI
mupi_afiches_i02_0012,mupi_afiches_i02_0012.jpg,Sin título,1986,Italia,42.6384261,12.674297,Afiches,image/jpeg,,MUPI
mupi_afiches_i03_0013,mupi_afiches_i03_0013.jpg,Debate Nacional por la Paz,1990,El Salvador,13.8000382,-88.9140683,Afiches,image/jpeg,spa,MUPI
